participants,model1_s_p,model1_s_v,model1_r,model1_ss,model2_s_p,model2_s_v,model2_w,model2_r,model2_ss,model3_s_p,model3_s_v,model3_w0,model3_a,model3_r,model3_ss,model2mod_s_p,model2mod_s_v,model2mod_w_pain,model2mod_w_vision,model2mod_r,model2mod_ss,model3mod_s_p,model3mod_s_v,model3mod_w0_p,model3mod_w0_v,model3mod_a_p,model3mod_a_v,model3mod_r,model3mod_ss,model_2_vs_1_F,model_2_vs_1_P,model_3_vs_2_F,model_3_vs_2_P,model_2mod_vs_2_F,model_2mod_vs_2_P,model_3mod_vs_3_F,model_3mod_vs_3_P,model_3mod_vs_2mod_F,model_3mod_vs_2mod_P,best_model,best_model_label
sub-40,2.09024,1.98194,0.315515774054101,44317.0196152713,1.73613,1.89493,0.27978,0.442056450099709,39206.9717512174,1.86091,1.97149,0.77585,-0.18244,0.540570651876024,34632.7515708715,1.81053,1.87066,0.2348,0.33192,0.445771909150439,39053.8758278384,1.84503,1.89038,0.84107,0.55976,-0.76833,-0.10355,0.572201727757927,32857.8572712953,18.3772608964435,3.33969485756258e-05,18.4909022876204,3.18114862219998e-05,0.54881695654318,0.460042213020349,3.72719698851907,0.026515794316038,13.0113560623128,6.65704880908891e-06,model3mod,expect learn by mod
sub-41,1.02229,1.75463,0.38997892510242,61212.3037522911,1.21097,1.91872,0.32673,0.486205999958652,54388.5735776687,1.28468,2.03962,0.686,0.03031,0.623235125573053,43670.3122100062,1.19165,1.93617,0.30342,0.34934,0.486708274085477,54354.8823287977,1.32179,1.98097,0.7057,0.89512,0.042,0.33946,0.654445641337708,40869.9105314072,17.6902222531684,4.59819329637901e-05,34.3610227528651,3.13770716076078e-08,0.0867773903620779,0.768751073737131,4.72787224906807,0.0103276122179435,22.7664568363789,2.8536044638372e-09,model3mod,expect learn by mod
sub-42,2.11932,1.19679,0.331081688686601,39948.83156358,2.41891,1.22784,0.42632,0.499045295916265,25648.7913029846,2.42224,1.22328,0.47926,0.0152,0.502390474843214,25542.6941062832,2.61043,1.20815,0.54918,0.21383,0.50551888445728,23594.6362145076,2.62526,1.20535,0.622,0.29085,0.02713,0.07578,0.511296129809009,23370.2728646718,78.6121128643335,2.99760216648792e-15,0.58152078541066,0.446999769819793,12.1884359552002,0.000643610677012352,6.41400579869932,0.00216969441031112,0.662425776041185,0.517230731702451,model2mod,expect by mod
sub-43,1.24029,2.13261,0.629659743983678,48209.5865432557,1.42799,2.47321,0.425,0.654822395493867,28878.153940535,1.42525,2.4686,0.46049,0.00555,0.656399299364482,28793.5772867464,1.48464,2.35169,0.49036,0.32223,0.653399892796513,28159.1736329364,1.48329,2.32601,0.50547,0.42051,0.00835,0.02261,0.657308763592279,27897.5514869901,94.3873352360526,0,0.411228219838351,0.52239519472708,3.57458085865396,0.0607367443646629,2.21617227633826,0.112891686653123,0.647079299368423,0.525153859218709,model2,expect
sub-44,0.97715,1.12302,0.360371391661283,25827.729373815,1.03699,1.16705,0.29474,0.552699383231301,20375.1503476692,1.02355,1.16109,0.39868,0.01884,0.559268855496334,20174.3171867163,1.06368,1.15124,0.37666,0.21126,0.565949902269985,19945.884804897,1.0425,1.14773,0.49794,0.26804,0.03569,0.02939,0.572765860978479,19736.9768974239,37.7329064850073,7.818692915329e-09,1.39368496456038,0.239785630181161,3.01301128407933,0.0847988823568142,1.52893120957719,0.220416133410552,0.730337056711299,0.483599131990123,model2,expect
sub-45,1.38694,1.38931,0.244263538775193,50931.8452893122,1.49542,1.41039,0.28086,0.277040274316889,45213.139891602,1.48179,1.40416,0.41217,0.0237,0.281545476218029,44944.220795055,1.60999,1.38931,0.44537,0,0.307752178797386,41841.8809185861,1.63648,1.40498,0.34374,0.21105,-0.02269,-0.50684,0.341587397629316,40711.1167188271,17.8341398763794,4.29958064854796e-05,0.837675519801667,0.361636153158532,11.279996163188,0.00100943961564881,7.17455586583419,0.00108568050282609,1.9164969195573,0.151016819729623,model2mod,expect by mod
sub-46,1.22336,0.99324,0.324472698877706,42227.3799881669,1.63911,1.11247,0.62162,0.775203961200661,18828.4757723912,1.67701,1.14473,0.7354,0.02287,0.789176055344978,17786.8325159882,1.85778,1.07297,0.71485,0.5235,0.782926443940753,18274.536191577,1.90722,1.08713,0.83006,0.59075,0.02883,0.07587,0.800277735924065,16965.9122028386,175.226371709927,0,8.19876477530968,0.00483697705134745,4.24369409439438,0.0412484075910836,3.33866525596245,0.0383727892659613,5.32214561430084,0.00593511009412084,model3mod,expect learn by mod
sub-47,1.48524,1.16019,0.147474548226921,59052.5551234838,1.63375,1.08058,0.77675,0.797873417957078,21517.6220137919,1.51033,1.09837,0.95274,-0.20152,0.806969155503404,20651.1054666667,1.74038,1.10863,0.85668,0.69261,0.802382552578418,21099.1858510453,0,1.10266,0.77775,0.6393,-0.7078,0.04931,0.821888030137204,19316.5609277679,245.957734784742,0,5.87437397931747,0.0166392722593244,2.77646081692846,0.0978952053505703,4.76707906383314,0.0099556299932716,6.36765106201328,0.00226372483109727,model3mod,expect learn by mod
sub-48,1.13236,1.96813,0.257808218991302,32682.0467948112,1.24124,1.96864,0.45453,0.649865287070485,19374.1199538945,1.25908,1.97635,0.57808,0.08868,0.666529763478233,18654.3333553627,1.21826,1.96879,0.39665,0.51815,0.655311141987744,19136.9221019829,1.22882,1.96822,0.51299,0.52019,0.09027,0.16514,0.669926483766444,18497.5170105074,96.8517635399522,0,5.40196864046527,0.0215529334236316,1.73526856046411,0.18989132794775,0.58496109444659,0.558502905332512,2.3851283005576,0.0958634150679779,model3,expect learn
sub-50,0.95026,0.72579,0.382405215951994,26502.0137827595,0.91215,0.68698,0.09397,0.407351896860375,25931.1262525936,0.91271,0.68654,0.12304,-0.00288,0.408313297601035,25906.7808287557,0.88028,0.72162,0.15998,0.011,0.426463001200797,25577.0422919934,0.87936,0.71682,0.29895,0,-0.02909,0,0.438097676238448,25276.9178135608,3.10418995956015,0.0802582673175413,0.131562441502476,0.717364523301223,1.93813475061348,0.166078691216788,1.71937687850273,0.182993603840012,0.819268755969182,0.442885884686787,model1,no expect
