"","modality","type","period","brain_measure","stim_int_estimate","stim_int_SE","stim_int_DF","stim_int_t","stim_int_p","cue_mean_estimate","cue_mean_SE","cue_mean_DF","cue_mean_t","cue_mean_p","cue_var_estimate","cue_var_SE","cue_var_DF","cue_var_t","cue_var_p","cue_sk_neg_sym_estimate","cue_sk_neg_sym_SE","cue_sk_neg_sym_DF","cue_sk_neg_sym_t","cue_sk_neg_sym_p","cue_sk_pos_sym_estimate","cue_sk_pos_sym_SE","cue_sk_pos_sym_DF","cue_sk_pos_sym_t","cue_sk_pos_sym_p","cue_mean_X_var_estimate","cue_mean_X_var_SE","cue_mean_X_var_DF","cue_mean_X_var_t","cue_mean_X_var_p","stim_int_X_cue_mean_estimate","stim_int_X_cue_mean_SE","stim_int_X_cue_mean_DF","stim_int_X_cue_mean_t","stim_int_X_cue_mean_p"
"199882","pain","visual","stim","Ctx_V3CD_L",0.044,0.029,2906.95,1.51,0.132,-0.031,0.03,296.19,-1.01,0.311,-0.021,0.029,2906.98,-0.71,0.476,0.048,0.041,2906.35,1.17,0.241,0.027,0.041,2907.19,0.65,0.516,0.028,0.029,2914.59,0.97,0.333,-0.018,0.029,2905.86,-0.61,0.543
"199886","vision","visual","stim","Ctx_V3CD_L",0.001,0.026,2960.57,0.06,0.955,-0.015,0.026,2960.3,-0.56,0.575,-0.038,0.026,2960.56,-1.48,0.139,-0.02,0.037,2960.48,-0.54,0.588,-0.035,0.037,2960.38,-0.94,0.346,0.013,0.026,2960.27,0.51,0.609,-0.008,0.026,2960.3,-0.3,0.765
"205939","pain","visual","stim","Ctx_VMV2_L",0.051,0.029,2948.32,1.73,0.084,-0.023,0.029,2948.72,-0.79,0.432,0.026,0.029,2949.58,0.89,0.375,0.01,0.041,2948.81,0.25,0.803,0.009,0.041,2949.16,0.22,0.823,0.03,0.029,2948.63,1.02,0.307,-0.025,0.029,2948.88,-0.84,0.402
"205943","vision","visual","stim","Ctx_VMV2_L",-0.021,0.029,2959.16,-0.73,0.466,-0.026,0.029,2958.67,-0.91,0.36,-0.02,0.029,2959.18,-0.7,0.486,-0.006,0.041,2959,-0.16,0.876,-0.024,0.041,2958.88,-0.58,0.564,-0.011,0.029,2958.6,-0.38,0.702,-0.008,0.029,2958.68,-0.26,0.793
"211996","pain","visual","stim","Ctx_V1_R",0.108,0.029,2908.83,3.77,0,-0.002,0.03,315.7,-0.07,0.943,-0.018,0.029,2908.75,-0.61,0.539,0.045,0.041,2908.26,1.12,0.264,0.016,0.041,2909.11,0.39,0.694,0.017,0.029,2916,0.58,0.559,0,0.029,2907.76,-0.02,0.987
"212000","vision","visual","stim","Ctx_V1_R",0.059,0.029,2946.97,2.04,0.041,-0.017,0.029,2946.41,-0.58,0.563,0.022,0.029,2946.97,0.78,0.438,-0.054,0.041,2946.75,-1.32,0.187,-0.009,0.041,2946.64,-0.23,0.821,0.022,0.029,2946.34,0.75,0.456,-0.032,0.029,2946.43,-1.11,0.269
"218053","pain","visual","stim","Ctx_V2_R",0.121,0.029,2908.99,4.21,0,-0.02,0.03,290.79,-0.68,0.498,-0.015,0.029,2908.92,-0.51,0.609,0.04,0.041,2908.45,1,0.32,0.01,0.041,2909.2,0.26,0.796,0.03,0.029,2915.89,1.04,0.298,-0.004,0.029,2907.93,-0.14,0.89
"218057","vision","visual","stim","Ctx_V2_R",0.054,0.028,2956.55,1.89,0.058,-0.023,0.028,2956.09,-0.8,0.423,0.013,0.028,2956.54,0.46,0.646,-0.072,0.04,2956.4,-1.8,0.072,-0.034,0.04,2956.28,-0.84,0.401,0.015,0.028,2956.03,0.51,0.608,-0.021,0.028,2956.1,-0.74,0.461
"224110","pain","visual","stim","Ctx_V3_R",0.076,0.029,2908.59,2.66,0.008,-0.017,0.031,243.33,-0.54,0.586,-0.033,0.029,2908.56,-1.14,0.256,0.056,0.041,2908.16,1.37,0.171,0.005,0.04,2908.79,0.13,0.897,0.045,0.029,2914.74,1.56,0.12,-0.002,0.029,2907.56,-0.06,0.951
"224114","vision","visual","stim","Ctx_V3_R",0.055,0.027,2961.27,2,0.046,-0.021,0.027,2960.91,-0.77,0.439,0.024,0.027,2961.27,0.87,0.386,-0.102,0.039,2961.16,-2.63,0.009,-0.049,0.039,2961.05,-1.26,0.207,-0.004,0.027,2960.87,-0.13,0.897,-0.018,0.027,2960.92,-0.67,0.505
"230167","pain","visual","stim","Ctx_V4_R",0.05,0.029,2908.88,1.72,0.085,-0.002,0.031,250.36,-0.08,0.936,-0.027,0.029,2908.86,-0.94,0.347,0.032,0.041,2908.42,0.78,0.433,0.01,0.041,2909.06,0.24,0.809,0.038,0.029,2915.25,1.33,0.183,0.007,0.029,2907.86,0.24,0.813
"230171","vision","visual","stim","Ctx_V4_R",0.035,0.027,2953.52,1.3,0.193,-0.023,0.027,2953.23,-0.84,0.402,-0.009,0.027,2953.57,-0.32,0.747,-0.099,0.038,2953.49,-2.58,0.01,-0.061,0.038,2953.36,-1.59,0.111,0.004,0.027,2953.21,0.13,0.894,-0.005,0.027,2953.23,-0.18,0.857
"236224","pain","visual","stim","Ctx_V3A_R",0.061,0.028,2907.43,2.17,0.03,-0.002,0.031,221.36,-0.08,0.937,-0.021,0.028,2907.22,-0.76,0.449,0.003,0.04,2906.89,0.07,0.945,0.005,0.04,2907.45,0.13,0.9,0.047,0.028,2913.82,1.67,0.095,-0.012,0.028,2906.29,-0.43,0.67
